Time,RG
7290,2.14578
7300,2.15557
7310,2.15712
7320,2.15549
7330,2.16562
7340,2.1687
7350,2.15132
7360,2.14643
7370,2.14603
7380,2.13565
7390,2.1457
7400,2.15663
7410,2.12826
7420,2.13769
7430,2.13589
7440,2.13547
7450,2.14354
7460,2.15005
7470,2.15493
7480,2.15841
7490,2.13443
7500,2.13732
7510,2.14688
7520,2.15081
7530,2.16947
7540,2.15054
7550,2.14609
7560,2.17006
7570,2.1478
7580,2.14226
7590,2.15553
7600,2.1464
7610,2.14884
7620,2.14693
7630,2.13969
7640,2.14015
7650,2.16498
7660,2.1503
7670,2.16341
7680,2.17211
7690,2.16352
7700,2.16438
7710,2.16051
7720,2.15933
7730,2.16428
7740,2.15928
7750,2.16453
7760,2.16068
7770,2.14722
7780,2.14574
7790,2.14722
7800,2.14587
7810,2.15275
7820,2.14424
7830,2.13746
7840,2.14246
7850,2.15
7860,2.14252
7870,2.16331
7880,2.15295
7890,2.14799
7900,2.15018
7910,2.1351
7920,2.14292
7930,2.1511
7940,2.14533
7950,2.14862
7960,2.15646
7970,2.1329
7980,2.14079
7990,2.15166
8000,2.1431
8010,2.13993
8020,2.15477
8030,2.15681
8040,2.15429
8050,2.15528
8060,2.15493
8070,2.1517
8080,2.15357
8090,2.15182
8100,2.15281
8110,2.15457
8120,2.13325
8130,2.14863
8140,2.14323
8150,2.14113
8160,2.14843
8170,2.15884
8180,2.14633
8190,2.14037
8200,2.14656
8210,2.13843
8220,2.12799
8230,2.13534
8240,2.13544
8250,2.12688
8260,2.1347
8270,2.14025
8280,2.15131
8290,2.14158
8300,2.13967
8310,2.15918
8320,2.16397
8330,2.15246
8340,2.14382
8350,2.11881
8360,2.1281
8370,2.14626
8380,2.14346
8390,2.15393
8400,2.13824
8410,2.1469
8420,2.13832
8430,2.13304
8440,2.14095
8450,2.13268
8460,2.13984
8470,2.1245
8480,2.12775
8490,2.14863
8500,2.15393
8510,2.14447
8520,2.13396
8530,2.11551
8540,2.11861
8550,2.12335
8560,2.14526
8570,2.14596
8580,2.1263
8590,2.12278
8600,2.12661
8610,2.12013
8620,2.1248
8630,2.12923
8640,2.13691
8650,2.15057
8660,2.14667
8670,2.1388
8680,2.12718
8690,2.13685
8700,2.13712
8710,2.13391
8720,2.13945
8730,2.13155
8740,2.13037
8750,2.12695
8760,2.11879
8770,2.12383
8780,2.12342
8790,2.12853
8800,2.12406
8810,2.11714
8820,2.13169
8830,2.12049
8840,2.13375
8850,2.12893
8860,2.12584
8870,2.11789
8880,2.10521
8890,2.13278
8900,2.1161
8910,2.11449
8920,2.12848
8930,2.12778
8940,2.1243
8950,2.11887
8960,2.11165
8970,2.11458
8980,2.11607
8990,2.12361
9000,2.11937
9010,2.12621
9020,2.12574
9030,2.13149
9040,2.12397
9050,2.12726
9060,2.12742
9070,2.12223
9080,2.12642
9090,2.1115
9100,2.12242
9110,2.11439
9120,2.1225
9130,2.1218
9140,2.12792
9150,2.13229
9160,2.12927
9170,2.12751
9180,2.12686
9190,2.12806
9200,2.13683
9210,2.12384
9220,2.12705
9230,2.1192
9240,2.11302
9250,2.11516
9260,2.11233
9270,2.11032
9280,2.11475
9290,2.11079
9300,2.11106
9310,2.11869
9320,2.10286
9330,2.11528
9340,2.11304
9350,2.10712
9360,2.11934
9370,2.12695
9380,2.1249
9390,2.13599
9400,2.14105
9410,2.12802
9420,2.13634
9430,2.12792
9440,2.12909
9450,2.12217
9460,2.1246
9470,2.12611
9480,2.13177
9490,2.10923
9500,2.12133
9510,2.1166
9520,2.10232
9530,2.09745
9540,2.11679
9550,2.11378
9560,2.11461
9570,2.10778
9580,2.10759
9590,2.10581
9600,2.10038
9610,2.11625
9620,2.1132
9630,2.10961
9640,2.09637
9650,2.10854
9660,2.09004
9670,2.10255
9680,2.12083
9690,2.13648
9700,2.13244
9710,2.13658
9720,2.13026
9730,2.13283
9740,2.12627
9750,2.1267
9760,2.1337
9770,2.1331
9780,2.13851
9790,2.11975
9800,2.12665
9810,2.11651
9820,2.10694
9830,2.10403
9840,2.11189
9850,2.10743
9860,2.10902
9870,2.10422
9880,2.10554
9890,2.10795
9900,2.10274
9910,2.10592
9920,2.11609
9930,2.09801
9940,2.10156
9950,2.11396
9960,2.10794
9970,2.09762
9980,2.10566
9990,2.10367
10000,2.10064
10010,2.10579
10020,2.09336
10030,2.10411
10040,2.11578
10050,2.11217
10060,2.10174
10070,2.11126
10080,2.1204
10090,2.12224
10100,2.12538
10110,2.13192
10120,2.11982
10130,2.12994
10140,2.12505
10150,2.11666
10160,2.11669
10170,2.10213
10180,2.10605
10190,2.10945
10200,2.11205
10210,2.11362
10220,2.12069
10230,2.12715
10240,2.11809
10250,2.13023
10260,2.14313
10270,2.13383
10280,2.12572
10290,2.13181
10300,2.12191
10310,2.1255
10320,2.12959
10330,2.13062
10340,2.13501
10350,2.13533
10360,2.13374
10370,2.13425
10380,2.12159
10390,2.11773
10400,2.09668
10410,2.11126
10420,2.10366
10430,2.09494
10440,2.09397
10450,2.08993
10460,2.08281
10470,2.08202
10480,2.08647
10490,2.08492
10500,2.09852
10510,2.09298
10520,2.09165
10530,2.09878
10540,2.10373
10550,2.10706
10560,2.10559
10570,2.09575
10580,2.09582
10590,2.10477
10600,2.08335
10610,2.10237
10620,2.09013
10630,2.11036
10640,2.10439
10650,2.11267
10660,2.10395
10670,2.1113
10680,2.10311
10690,2.09796
10700,2.10375
10710,2.11779
10720,2.10569
10730,2.1031
10740,2.09454
10750,2.10874
10760,2.1135
10770,2.0987
10780,2.10053
10790,2.10254
10800,2.10511
10810,2.11802
10820,2.10224
10830,2.09501
10840,2.12358
10850,2.11701
10860,2.11626
10870,2.1221
10880,2.103
10890,2.11791
10900,2.11895
10910,2.10142
10920,2.09191
10930,2.09077
10940,2.08998
10950,2.09724
10960,2.07773
10970,2.09546
10980,2.09458
10990,2.07895
11000,2.09896
11010,2.09654
11020,2.09244
11030,2.09006
11040,2.09003
11050,2.09741
11060,2.08962
11070,2.09497
11080,2.0986
11090,2.10297
11100,2.0943
11110,2.09346
11120,2.0857
11130,2.07948
11140,2.07582
11150,2.08919
11160,2.08113
11170,2.0743
11180,2.07637
11190,2.06017
11200,2.08861
11210,2.09458
11220,2.09757
11230,2.09014
11240,2.07784
11250,2.09939
11260,2.09853
11270,2.09753
11280,2.10869
11290,2.12235
11300,2.12119
11310,2.1101
11320,2.09754
11330,2.10476
11340,2.09828
11350,2.10449
11360,2.09614
11370,2.10233
11380,2.09394
11390,2.08429
11400,2.06949
11410,2.07601
11420,2.08663
11430,2.08252
11440,2.07906
11450,2.08507
11460,2.08749
11470,2.06643
11480,2.0749
11490,2.08406
11500,2.09929
11510,2.08728
11520,2.10054
11530,2.07921
11540,2.08408
11550,2.09041
11560,2.09205
11570,2.08733
11580,2.08025
11590,2.09476
11600,2.09855
11610,2.08985
11620,2.08704
11630,2.09872
11640,2.09581
11650,2.11577
11660,2.1278
11670,2.12524
11680,2.12312
11690,2.11272
11700,2.11742
11710,2.11556
11720,2.10924
11730,2.10296
11740,2.09386
11750,2.08291
11760,2.09128
